Pos	Mean Qual Score
0	31.384095978647274
1	31.393870006454957
2	35.114807805848606
3	35.8660334343487
4	36.00593525596872
5	39.63200567534113
6	39.5341381939928
7	39.97202616877453
8	40.04363712711219
9	40.10344328879767
10	40.14605318224027
11	40.14807690558635
12	40.10661606888601
13	40.10423148792088
14	40.11304668744363
15	40.10490900866891
16	40.01717141684845
17	40.05210825011212
18	40.056066667324245
19	40.04979886383011
20	40.02436410213513
21	40.081898154630245
22	40.014646438314806
23	40.060476508835116
24	40.01565817188787
25	39.99956036089861
26	39.944888702261466
27	39.9676054387661
28	39.910011563584405
29	39.95276710669434
30	39.8625983055192
31	39.91476881221735
32	39.901622168366146
33	39.94401301085788
34	39.95435810833747
35	39.95047334860883
36	39.932919681446116
37	39.90953349449164
38	39.919731020804335
39	39.9089496148226
40	39.88875183615296
41	39.875302107769734
42	39.872786736733936
43	39.86575199871183
44	39.779818566886696
45	39.81615847913565
46	39.827654426757114
47	39.824455129974716
48	39.81940696630702
49	39.81355151662039
50	39.81556089276969
51	39.807121026162754
52	39.728335060334445
53	39.76220213073806
54	39.773090756395746
55	39.7695336763936
56	39.71605424418903
57	39.73487123326838
58	39.72341922393707
59	39.71570734946684
60	39.693701311602794
61	39.689762493686274
62	39.639598801137986
63	39.65852557189272
64	39.64727877871537
65	39.63783691413318
66	39.624163779400064
67	39.6133062820354
68	39.59973434627959
69	39.506400963414265
70	39.52538537915606
71	39.52678807384144
72	39.51723181598491
73	39.49461217925849
74	39.47554219273589
75	39.46119307445439
76	38.76720994291481
77	39.159581692105824
78	39.269925982555606
79	39.319608659711776
80	39.40886487669161
81	39.42001533869056
82	39.393242316595746
83	39.381173890202696
84	39.36021929690281
85	39.35216104011028
86	39.31218283247739
87	39.17112516481662
88	39.21162256163306
89	39.220047184343414
90	39.20143502711812
91	39.16036310193056
92	39.12134935898134
93	39.072214821602216
94	39.0456625157579
95	39.05380903343063
96	39.03052135535406
97	38.80675427594502
98	38.86584384639122
99	38.94294709099697
100	37.78616143696399
